Timestamp,Run,Cross Validation Step,Global Step,Local Step,Test Type,Task19_Softmax 17_target: sparse_categorical_crossentropy
2023-11-19 07:47:36.304633,0,-1,500,500,Test Log,0.94
2023-11-19 07:47:58.078482,0,-1,1000,1000,Test Log,0.9762
2023-11-19 07:48:14.331017,0,-1,1500,1500,Test Log,0.9711
2023-11-19 07:48:35.801924,0,-1,2000,2000,Test Log,0.9801
2023-11-19 07:48:51.617402,0,-1,2500,2500,Test Log,0.9581
2023-11-19 07:49:12.579935,0,-1,3000,3000,Test Log,0.9804
2023-11-19 07:49:28.282078,0,-1,3500,3500,Test Log,0.9643
2023-11-19 07:49:48.422027,0,-1,4000,4000,Test Log,0.977
2023-11-19 07:50:03.937732,0,-1,4500,4500,Test Log,0.977
2023-11-19 07:50:12.045772,0,-1,4690,4690,Test Log,0.9772
2023-11-19 07:50:31.890424,1,-1,500,500,Test Log,0.9458
2023-11-19 07:50:51.506261,1,-1,1000,1000,Test Log,0.97
2023-11-19 07:51:07.136577,1,-1,1500,1500,Test Log,0.9032
2023-11-19 07:51:28.534696,1,-1,2000,2000,Test Log,0.984
2023-11-19 07:51:44.422182,1,-1,2500,2500,Test Log,0.9809
2023-11-19 07:52:05.150138,1,-1,3000,3000,Test Log,0.9745
2023-11-19 07:52:21.267839,1,-1,3500,3500,Test Log,0.9812
2023-11-19 07:52:42.443133,1,-1,4000,4000,Test Log,0.9828
2023-11-19 07:52:58.369185,1,-1,4500,4500,Test Log,0.9794
2023-11-19 07:53:06.521371,1,-1,4690,4690,Test Log,0.9802
2023-11-19 07:53:26.852720,2,-1,500,500,Test Log,0.8508
2023-11-19 07:53:46.877299,2,-1,1000,1000,Test Log,0.9543
2023-11-19 07:54:02.723518,2,-1,1500,1500,Test Log,0.9727
2023-11-19 07:54:23.245054,2,-1,2000,2000,Test Log,0.9784
2023-11-19 07:54:39.144244,2,-1,2500,2500,Test Log,0.9791
2023-11-19 07:55:00.722013,2,-1,3000,3000,Test Log,0.9823
2023-11-19 07:55:16.722442,2,-1,3500,3500,Test Log,0.983
2023-11-19 07:55:37.174803,2,-1,4000,4000,Test Log,0.9766
2023-11-19 07:55:53.416242,2,-1,4500,4500,Test Log,0.9797
2023-11-19 07:56:00.261981,2,-1,4690,4690,Test Log,0.9791
