Timestamp,Run,Cross Validation Step,Global Step,Local Step,Test Type,Task17_Keras Dense14_target: sparse_categorical_crossentropy
2023-11-19 10:49:10.081290,0,-1,500,500,Test Log,0.10001990445859872
2023-11-19 10:49:28.184354,0,-1,1000,1000,Test Log,0.10001990445859872
2023-11-19 10:49:48.650062,0,-1,1500,1500,Test Log,0.10001990445859872
2023-11-19 10:50:08.039828,0,-1,2000,2000,Test Log,0.10001990445859872
2023-11-19 10:50:25.420813,0,-1,2500,2500,Test Log,0.10001990445859872
2023-11-19 10:50:43.130648,0,-1,3000,3000,Test Log,0.10001990445859872
2023-11-19 10:51:03.717944,0,-1,3500,3500,Test Log,0.10001990445859872
2023-11-19 10:51:19.026818,0,-1,3910,3910,Test Log,0.10001990445859872
2023-11-19 10:52:40.879462,1,-1,500,500,Test Log,0.13286226114649682
2023-11-19 10:53:01.375434,1,-1,1000,1000,Test Log,0.12072054140127389
2023-11-19 10:53:18.830468,1,-1,1500,1500,Test Log,0.1285828025477707
2023-11-19 10:53:36.210834,1,-1,2000,2000,Test Log,0.1266918789808917
2023-11-19 10:53:58.164919,1,-1,2500,2500,Test Log,0.12539808917197454
2023-11-19 10:54:16.658092,1,-1,3000,3000,Test Log,0.11813296178343949
2023-11-19 10:54:34.562636,1,-1,3500,3500,Test Log,0.11474920382165606
2023-11-19 10:54:54.091790,1,-1,3910,3910,Test Log,0.11355493630573249
2023-11-19 10:56:17.488245,2,-1,500,500,Test Log,0.09982085987261147
2023-11-19 10:56:35.043699,2,-1,1000,1000,Test Log,0.10001990445859872
2023-11-19 10:56:52.440494,2,-1,1500,1500,Test Log,0.10001990445859872
2023-11-19 10:57:09.784249,2,-1,2000,2000,Test Log,0.10001990445859872
2023-11-19 10:57:30.275163,2,-1,2500,2500,Test Log,0.10001990445859872
2023-11-19 10:57:47.787514,2,-1,3000,3000,Test Log,0.10001990445859872
2023-11-19 10:58:09.770465,2,-1,3500,3500,Test Log,0.10001990445859872
2023-11-19 10:58:24.930322,2,-1,3910,3910,Test Log,0.10001990445859872
